,missing_count,missing_pct
id,0,0.0
patientguid,0,0.0
serialno,0,0.0
patientid,0,0.0
fullname,0,0.0
title,0,0.0
firstname,0,0.0
middlename,14839,0.3107
lastname,0,0.0
age,0,0.0
agetype,0,0.0
sex,0,0.0
bloodgroup,0,0.0
maritalstatus,0,0.0
religion,0,0.0
relationwith,0,0.0
guardianname,0,0.0
mothername,0,0.0
guardianbusiness,47756,1.0
dateofbirth,0,0.0
address1,0,0.0
address2,0,0.0
cityid,0,0.0
stateid,0,0.0
countryid,0,0.0
zipcode,47748,0.9998
homephone,0,0.0
workphone,45981,0.9628
cellphone,0,0.0
emailid,47744,0.9997
occupation,47756,1.0
lastvisiteddoctor,47756,1.0
emergencycontact,0,0.0
panelid,0,0.0
cardno,39087,0.8185
registrationdate,0,0.0
lastupdatedate,43381,0.9084
lastvisiteddate,0,0.0
patientphoto,47756,1.0
diseaseidentification,47756,1.0
diseasedetails,47756,1.0
aadhaaruid,43353,0.9078
isactive,0,0.0
ispatientexpired,0,0.0
userid,0,0.0
compcode,0,0.0
finyear,0,0.0
idproof,0,0.0
patientexpireddate,47735,0.9996
openingbalance,1,0.0
membershiptypeid,0,0.0
membershipcardno,47756,1.0
relationwithparent,47756,1.0
parentpatientid,47756,1.0
ismembershipactive,0,0.0
ismembershiptakendirectly,0,0.0
daywisesno,0,0.0
tahsilid,0,0.0
blockid,0,0.0
age_band,36,0.0008
membership_status,0,0.0
